Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6202342,Her Fearful Symmetry,Audrey Niffenegger,"Niffenegger, Audrey",,"=""0224085611""","=""9780224085618""",4,Jonathan Cape Ltd,Hardcover,406,2009,2009,2010/10/17,2010/10/17,favorites,favorites (#2),read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",5,Scholastic Inc.,Mass Market Paperback,547,2004,1999,,2011/01/05,favorites,favorites (#1),read,,,,1,0
7937462,"The Short Second Life of Bree Tanner (Twilight Saga, #3.5)",Stephenie Meyer,"Meyer, Stephenie",,"=""031612558X""","=""9780316125581""",2,"Little, Brown and Company",Hardcover,178,2010,2009,2010/02/10,2011/02/07,,,read,,,,1,0
4214,Life of Pi,Yann Martel,"Martel, Yann",,"=""0770430074""","=""9780770430078""",3,Seal Books,Paperback,460,2006,2001,2011/01/05,2010/11/04,,,read,,,,1,0
3018469,"Breaking Dawn (Twilight, #4)",Stephenie Meyer,"Meyer, Stephenie",,"=""1905654286""","=""9781905654284""",1,ATOM,Hardcover,768,2008,2008,2010/03/01,2010/01/13,,,read,,,,1,0
17061,Coraline,Neil Gaiman,"Gaiman, Neil",Dave McKean,"=""0061139378""","=""9780061139376""",4,William Morrow Paperbacks,Paperback,208,2006,2002,2010/06/28,2010/05/25,,,read,,,,1,0
6323,The BFG / Matilda / George's Marvellous Medicine,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0752903799""","=""9780752903798""",5,Leopard,Hardcover,560,1992,1992,1999/01/01,2010/05/19,,,read,,,,1,0
74532,George's Marvellous Medicine,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0224064908""","=""9780224064903""",5,Jonathan Cape,Hardcover,120,2003,1981,,2010/05/19,,,read,,,,1,0
6310,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0142403881""","=""9780142403884""",4,Puffin Books,Paperback,176,2005,1964,,2010/05/19,,,read,,,,1,0
39988,Matilda,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""043512398X""","=""9780435123987""",3,New Windmills,Hardcover,240,1992,1988,,2010/05/19,,,read,,,,1,0
6319,The BFG,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0141311371""","=""9780141311371""",4,Puffin Books,Paperback,199,2001,1982,,2010/05/19,,,read,,,,1,0
6689,James and the Giant Peach,Roald Dahl,"Dahl, Roald",Quentin Blake,"=""0375814248""","=""9780375814242""",5,Alfred A. Knopf ,Hardcover,176,2002,1961,,2010/05/18,,,read,,,,1,0
41899,Fantastic Beasts and Where to Find Them,Newt Scamander,"Scamander, Newt",J.K. Rowling,"=""0439321603""","=""9780439321600""",3,"Obscurous Books, Arthur A. Levine Books",Hardcover,128,2001,2001,,2010/05/18,,,read,,,,1,0
111450,Quidditch Through the Ages,J.K. Rowling,"Rowling, J.K.",Kennilworthy Whisp,"=""0439321611""","=""9780439321617""",3,Scholastic,Hardcover,105,2001,2001,,2010/05/18,,,read,,,,1,0
113436,Eragon (The Inheritance Cycle #1),Christopher Paolini,"Paolini, Christopher",,"=""0375826696""","=""9780375826696""",5,Alfred A. Knopf,Paperback,503,2005,2002,,2010/05/18,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",3,Arthur A. Levine Books,Hardcover,352,1999,1998,,2010/05/18,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439686520""","=""9780439686525""",4,Scholastic Inc.,Paperback,870,2004,2003,,2010/05/18,,,read,,,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0439554934""","=""9780439554930""",5,Scholastic Inc,Hardcover,309,2003,1997,,2010/05/18,,,read,,,,1,0
300044,"Knife Edge (Noughts & Crosses, #2)",Malorie Blackman,"Blackman, Malorie",,"=""0552548928""","=""9780552548922""",4,Corgi,Paperback,364,2005,2003,2007/03/01,2010/02/17,,,read,,,,1,0
714902,"Noughts & Crosses (Noughts & Crosses, #1)",Malorie Blackman,"Blackman, Malorie",,"=""0552555703""","=""9780552555708""",5,Corgi,Paperback,479,2006,2001,2006/12/01,2010/02/17,,,read,,,,1,0
2650712,"Eclipse (Twilight, #3)",Stephenie Meyer,"Meyer, Stephenie",,"=""1904233910""","=""9781904233916""",2,Atom,Paperback,628,2008,2007,,2010/01/13,,,read,,,,1,0
2326730,"New Moon (Twilight, #2)",Stephenie Meyer,"Meyer, Stephenie",,"=""1904233880""","=""9781904233886""",4,Atom,Paperback,563,2007,2006,,2010/01/13,,,read,,,,1,0
871224,"Twilight (Twilight, #1)",Stephenie Meyer,"Meyer, Stephenie",,"=""1904233651""","=""9781904233657""",4,Atom,Paperback,434,2007,2005,,2010/01/13,,,read,,,,1,0
