Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
1618,The Curious Incident of the Dog in the Night-Time,Mark Haddon,"Haddon, Mark",,"=""1400032717""","=""9781400032716""",4,Vintage,Paperback,226,2004,2003,2016/04/21,2015/12/30,,,read,,,,1,0
38709,"Holes (Holes, #1)",Louis Sachar,"Sachar, Louis",,"=""0439244196""","=""9780439244190""",4,Scholastic,Paperback,272,2000,1998,2016/01/01,2016/03/16,,,read,,,,1,0
10086357,"Rivers of London (Rivers of London, #1)",Ben Aaronovitch,"Aaronovitch, Ben",,"=""""","=""""",0,Gollancz,Paperback,392,2011,2011,,2015/04/08,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",4,Scholastic,Paperback,734,2002,2000,2016/03/13,2011/01/05,favorites,favorites (#9),read,,,,1,0
16241160,Capital,John Lanchester,"Lanchester, John",,"=""0393345092""","=""9780393345094""",1,W. W. Norton & Company,Paperback,528,2013,2012,2016/02/11,2015/12/22,,,read,,,,1,0
7864437,"The Death Cure (The Maze Runner, #3)",James Dashner,"Dashner, James",,"=""0385738773""","=""9780385738774""",4,Delacorte Books for Young Readers,Hardcover,325,2011,2011,2016/01/26,2016/01/26,,,read,,,,1,0
7631105,"The Scorch Trials (The Maze Runner, #2)",James Dashner,"Dashner, James",,"=""0385738757""","=""9780385738750""",4,Delacorte Press,Hardcover,362,2010,2010,2016/01/26,2016/01/26,,,read,,,,1,0
6186357,"The Maze Runner (The Maze Runner, #1)",James Dashner,"Dashner, James",,"=""0385737947""","=""9780385737944""",4,Delacorte Press,Hardcover,384,2009,2009,2015/12/13,2016/01/13,,,read,,,,1,0
25735012,"Career of Evil (Cormoran Strike, #3)",Robert Galbraith,"Galbraith, Robert",,"=""0316349933""","=""9780316349932""",4,Mulholland Books,Hardcover,512,2015,2015,2015/12/18,2015/10/29,,,read,,,,1,0
24017512,"The Hidden Library (The Collectors' Society, #2)",Heather Lyons,"Lyons, Heather",,"=""0990843629""","=""9780990843627""",5,Cerulean Books,Kindle Edition,285,2015,,2015/12/03,2015/11/27,loved,loved (#2),read,,,,1,0
22735431,"The Collectors’ Society (The Collectors’ Society, #1)",Heather Lyons,"Lyons, Heather",,"=""0990843602""","=""9780990843603""",5,Cerulean Books,Kindle Edition,355,2014,2014,2015/11/27,2014/12/22,loved,loved (#1),read,,,,1,0
6671575,e Squared,Matt Beaumont,"Beaumont, Matt",,"=""0452295971""","=""9780452295971""",4,Penguin Publishing Group,Paperback,505,2010,2009,2015/11/11,2015/11/11,,,read,,,,1,0
140065,E.,Matt Beaumont,"Beaumont, Matt",,"=""000710068X""","=""9780007100682""",4,HarperCollins,Paperback,352,2000,2000,2015/11/09,2015/09/08,,,read,,,,1,0
7091488,"Dead in the Family (Sookie Stackhouse, #10)",Charlaine Harris,"Harris, Charlaine",,"=""0441018645""","=""9780441018642""",5,Ace Books,Hardcover,320,2010,2010,2015/09/26,2015/08/31,,,read,,,,1,0
25121768,The Watchmaker of Filigree Street,Natasha Pulley,"Pulley, Natasha",,"=""1408854287""","=""9781408854280""",4,Bloomsbury Circus,Hardcover,325,2015,2015,2015/09/08,2015/05/06,,,read,,,,1,0
150037,"The Vile Village (A Series of Unfortunate Events, #7)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0060566221""","=""9780060566227""",3,HarperCollins Publishers ,Hardcover,272,2001,2001,2015/08/09,2015/08/11,,,read,,,,1,0
172327,"The Ersatz Elevator (A Series of Unfortunate Events, #6)",Lemony Snicket,"Snicket, Lemony",Tim Curry,"=""0060566213""","=""9780060566210""",3,HarperCollins Publishers ,Hardcover,259,2001,2001,2015/08/11,2015/07/16,,,read,,,,1,0
18652002,The Bees,Laline Paull,"Paull, Laline",,"=""0062331159""","=""9780062331151""",5,Ecco,Hardcover,340,2014,2014,2015/07/31,2015/06/22,,,read,,,,1,0
78418,"The Reptile Room (A Series of Unfortunate Events, #2)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""""","=""""",3,"Scholastic, Inc.",Paperback,192,1999,1999,2015/06/10,2015/06/10,,,read,,,,1,0
438492,"The Wide Window (A Series of Unfortunate Events, #3)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064407683""","=""9780064407687""",3,HarperCollins Publishers,Hardcover,214,2000,2000,2015/06/14,2015/06/14,,,read,,,,1,0
78411,"The Bad Beginning (A Series of Unfortunate Events, #1)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0439206472""","=""9780439206471""",4,"Scholastic, Inc.",Paperback,162,1999,1999,2015/06/01,2015/06/01,,,read,,,,1,0
65119,"The Miserable Mill (A Series of Unfortunate Events, #4)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0439272637""","=""9780439272636""",3,"Scholastic, Inc.",Paperback,194,2000,2000,2015/06/18,2015/06/18,,,read,,,,1,0
131123,"The Austere Academy (A Series of Unfortunate Events, #5)",Lemony Snicket,"Snicket, Lemony",Brett Helquist,"=""0064408639""","=""9780064408639""",3,HarperCollins,Hardcover,221,2000,2000,2015/07/14,2015/07/07,,,read,,,,1,0
18047651,The Miniaturist,Jessie Burton,"Burton, Jessie",,"=""1447250893""","=""9781447250890""",4,Picador,Hardcover,435,2014,2014,2015/06/17,2014/07/05,,,read,,,,1,0
15034320,"Pines (Wayward Pines, #1)",Blake Crouch,"Crouch, Blake",Paul Michael Garcia,"=""1469216000""","=""9781469216003""",0,Brilliance Audio,Audio CD,11,2012,2012,,2015/06/10,to-read,to-read (#2),to-read,,,,0,0
9317452,"Rivers of London (Rivers of London, #1)",Ben Aaronovitch,"Aaronovitch, Ben",,"=""0575097566""","=""9780575097568""",2,Gollancz,Hardcover,392,2011,2011,2015/06/01,2014/08/21,,,read,,,,1,0
8886511,Lovers and Players,Jackie Collins,"Collins, Jackie",,"=""1616840692""","=""9781616840693""",4,St. Martin's Press,Mass Market Paperback,560,2006,2005,2015/04/23,2015/04/15,,,read,,,,1,0
37442,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"Maguire, Gregory",Douglas Smith,"=""""","=""""",4,ReganBooks,Paperback,406,2000,1995,2015/04/01,2011/01/05,,,read,,,,1,0
19103097,"The Magician's Land (The Magicians, #3)",Lev Grossman,"Grossman, Lev",,"=""""","=""""",5,Plume,ebook,402,2014,2014,2015/02/27,2014/08/01,,,read,,,,1,0
5161066,"Dead and Gone (Sookie Stackhouse, #9)",Charlaine Harris,"Harris, Charlaine",,"=""0441017150""","=""9780441017157""",3,Ace Books,Hardcover,320,2009,2009,2015/02/05,2015/01/27,,,read,,,,1,0
2233407,"From Dead to Worse (Sookie Stackhouse, #8)",Charlaine Harris,"Harris, Charlaine",,"=""0441015891""","=""9780441015894""",4,Ace Books,Hardcover,368,2008,2008,2015/01/27,2015/01/09,,,read,,,,1,0
107896,Starter for Ten,David Nicholls,"Nicholls, David",,"=""0345498127""","=""9780345498120""",4,Villard,Paperback,338,2007,2003,2015/01/11,2015/01/05,,,read,,,,1,0
140075,"All Together Dead (Sookie Stackhouse, #7)",Charlaine Harris,"Harris, Charlaine",,"=""0441014941""","=""9780441014941""",3,Ace Books,Hardcover,336,2007,2007,2015/01/09,2014/12/15,,,read,,,,1,0
13023,Alice in Wonderland,Jane Carruth,"Carruth, Jane","Lewis Carroll, Rene Cloke","=""0517223627""","=""9780517223628""",3,Gramercy,Hardcover,96,2004,1865,,2014/12/15,,,read,,,,1,0
17182139,The Silent Stars Go By,Dan Abnett,"Abnett, Dan",,"=""1849905177""","=""9781849905176""",2,BBC Books,Paperback,279,2013,2011,2014/12/15,2014/06/26,,,read,,,,1,0
140079,"Definitely Dead (Sookie Stackhouse, #6)",Charlaine Harris,"Harris, Charlaine",,"=""0441014917""","=""9780441014910""",2,Ace Books,Mass Market Paperback,324,2007,2006,2014/12/15,2014/11/19,,,read,,,,1,0
170210,"Dead as a Doornail (Sookie Stackhouse, #5)",Charlaine Harris,"Harris, Charlaine",,"=""0441013333""","=""9780441013333""",4,Ace Books,Mass Market Paperback,295,2006,2005,2014/11/19,2014/11/03,,,read,,,,1,0
140077,"Dead to the World (Sookie Stackhouse, #4)",Charlaine Harris,"Harris, Charlaine",,"=""0441012183""","=""9780441012183""",4,Ace Books,Mass Market Paperback,291,2005,2004,2014/11/03,2014/10/27,,,read,,,,1,0
140082,"Club Dead (Sookie Stackhouse, #3)",Charlaine Harris,"Harris, Charlaine",,"=""""","=""""",4,Orbit,Mass Market Paperback,274,2006,2003,2014/10/17,2014/10/07,,,read,,,,1,0
110494,"Living Dead in Dallas (Sookie Stackhouse, #2)",Charlaine Harris,"Harris, Charlaine",,"=""1841493007""","=""9781841493008""",4,Orbit,Mass Market Paperback,291,2004,2002,2014/10/06,2014/09/25,,,read,,,,1,0
301082,"Dead Until Dark (Sookie Stackhouse, #1)",Charlaine Harris,"Harris, Charlaine",,"=""0441008534""","=""9780441008537""",3,Ace Books,Mass Market Paperback,292,2001,2001,2014/09/25,2014/08/20,,,read,,,,1,0
38980,"The Princess Diaries (The Princess Diaries, #1)",Meg Cabot,"Cabot, Meg",,"=""0613371658""","=""9780613371650""",3,Turtleback,Library Binding,283,2001,2000,2001/01/01,2014/05/14,,,read,,,,1,0
18214414,"The Silkworm (Cormoran Strike, #2)",Robert Galbraith,"Galbraith, Robert",J.K. Rowling,"=""0316206873""","=""9780316206877""",4,Mulholland Books,Hardcover,464,2014,2014,2014/09/16,2014/08/26,,,read,,,,1,0
10079321,"The Magician King (The Magicians, #2)",Lev Grossman,"Grossman, Lev",,"=""043402080X""","=""9780434020805""",5,William Heinemann,Paperback,432,2011,2011,2014/09/08,2014/08/26,,,read,,,,1,0
6101718,"The Magicians (The Magicians, #1)",Lev Grossman,"Grossman, Lev",,"=""0670020559""","=""9780670020553""",4,Viking,Hardcover,402,2009,2009,2014/08/20,2012/07/16,,,read,,,,1,0
13538873,"Mr. Penumbra's 24-Hour Bookstore (Mr. Penumbra's 24-Hour Bookstore, #1)",Robin Sloan,"Sloan, Robin",,"=""0374214913""","=""9780374214913""",4,"Farrar, Straus and Giroux",Hardcover,288,2012,2012,2014/06/26,2014/06/04,,,read,,,,1,0
93436,The End of Mr. Y,Scarlett Thomas,"Thomas, Scarlett",,"=""0156031612""","=""9780156031615""",3,Mariner Books,Paperback,402,2006,2006,2014/06/04,2013/07/25,,,read,,,,1,0
1,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",4,Scholastic Inc,Paperback,652,2006,2005,,2010/05/18,,,read,,,,1,0
16160797,"The Cuckoo's Calling (Cormoran Strike, #1)",Robert Galbraith,"Galbraith, Robert",,"=""0316206849""","=""9780316206846""",4,Mulholland Books,Hardcover,456,2013,2013,2014/04/18,2014/03/06,,,read,,,,1,0
28187,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"Riordan, Rick",,"=""0786838655""","=""9780786838653""",3,Disney Hyperion Books,Paperback,377,2006,2005,2014/03/06,2014/03/06,,,read,,,,1,0
11506091,The Night Circus,Erin Morgenstern,"Morgenstern, Erin",,"=""""","=""""",4,Doubleday,ebook,401,2011,2011,,2012/01/23,,,read,,,,1,0
8479792,"666 Park Avenue (666 Park Avenue, #1)",Gabriella Pierce,"Pierce, Gabriella",,"=""0061434779""","=""9780061434778""",3,William Morrow Paperbacks,Paperback,320,2011,2011,2013/07/16,2012/08/14,,,read,,,,1,0
2458340,Ape House,Sara Gruen,"Gruen, Sara",,"=""0385664443""","=""9780385664448""",4,Bond Street Books,Hardcover,303,2010,2010,2013/05/04,2013/05/12,,,read,,,,1,0
7260188,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"Collins, Suzanne",,"=""0439023513""","=""9780439023511""",3,Scholastic Press,Hardcover,390,2010,2010,2013/03/30,2012/07/16,,,read,,,,1,0
426803,Alice's Adventures in Wonderland and Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis",John Tenniel,"=""0099512076""","=""9780099512073""",0,Vintage Classics,Paperback,336,2012,1871,,2010/01/13,,,read,,,,1,0
13144042,She's Gotta Be Mine (Cottonmouth #1),Jennifer Skully,"Skully, Jennifer",,"=""1626030286""","=""9781626030282""",0,Jasmine Haynes,Kindle Edition,287,2011,2004,,2013/02/28,,,read,,,,1,0
6148028,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"Collins, Suzanne",,"=""0439023491""","=""9780439023498""",3,Scholastic Press,Hardcover,391,2009,2009,2012/07/16,2012/03/15,,,read,,,,1,0
